Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Diabetes,fatigue,excessive_thirst,frequent_urination,blurred_vision,slow_healing_wounds,weight_loss,numbness_in_feet,increased_hunger
Diabetes,excessive_thirst,frequent_urination,fatigue,blurred_vision,weight_loss,slow_healing_wounds,increased_hunger,numbness_in_feet
Diabetes,increased_hunger,fatigue,excessive_thirst,frequent_urination,slow_healing_wounds,blurred_vision,weight_loss,numbness_in_feet
Diabetes,weight_loss,fatigue,excessive_thirst,frequent_urination,blurred_vision,slow_healing_wounds,increased_hunger,numbness_in_feet
Diabetes,numbness_in_feet,excessive_thirst,frequent_urination,fatigue,blurred_vision,slow_healing_wounds,weight_loss,increased_hunger
Diabetes,fatigue,excessive_thirst,frequent_urination,blurred_vision,slow_healing_wounds,weight_loss,increased_hunger,numbness_in_feet
Diabetes,excessive_thirst,fatigue,frequent_urination,blurred_vision,weight_loss,slow_healing_wounds,numbness_in_feet,increased_hunger
Diabetes,blurred_vision,excessive_thirst,frequent_urination,fatigue,slow_healing_wounds,weight_loss,increased_hunger,numbness_in_feet
Diabetes,slow_healing_wounds,excessive_thirst,frequent_urination,fatigue,blurred_vision,weight_loss,increased_hunger,numbness_in_feet
Diabetes,frequent_urination,excessive_thirst,fatigue,blurred_vision,slow_healing_wounds,weight_loss,increased_hunger,numbness_in_feet
Hypertension,headache,dizziness,chest_pain,shortness_of_breath,blurred_vision,nausea,palpitations,fatigue
Hypertension,dizziness,headache,chest_pain,shortness_of_breath,nausea,blurred_vision,palpitations,fatigue
Hypertension,chest_pain,headache,dizziness,shortness_of_breath,blurred_vision,nausea,palpitations,fatigue
Hypertension,shortness_of_breath,headache,dizziness,chest_pain,blurred_vision,nausea,palpitations,fatigue
Hypertension,nausea,headache,dizziness,chest_pain,shortness_of_breath,blurred_vision,palpitations,fatigue
Hypertension,palpitations,headache,dizziness,chest_pain,shortness_of_breath,blurred_vision,nausea,fatigue
Hypertension,headache,chest_pain,dizziness,shortness_of_breath,blurred_vision,nausea,palpitations,fatigue
Hypertension,blurred_vision,headache,dizziness,chest_pain,shortness_of_breath,nausea,palpitations,fatigue
Hypertension,fatigue,headache,dizziness,chest_pain,shortness_of_breath,blurred_vision,nausea,palpitations
Hypertension,headache,dizziness,nausea,chest_pain,shortness_of_breath,blurred_vision,fatigue,palpitations
Malaria,fever,chills,headache,sweating,nausea,muscle_pain,vomiting,fatigue
Malaria,chills,fever,headache,sweating,nausea,muscle_pain,vomiting,fatigue
Malaria,headache,fever,chills,sweating,nausea,muscle_pain,vomiting,fatigue
Malaria,sweating,fever,chills,headache,nausea,muscle_pain,vomiting,fatigue
Malaria,nausea,fever,chills,headache,sweating,muscle_pain,vomiting,fatigue
Malaria,muscle_pain,fever,chills,headache,sweating,nausea,vomiting,fatigue
Malaria,vomiting,fever,chills,headache,sweating,nausea,muscle_pain,fatigue
Malaria,fatigue,fever,chills,headache,sweating,nausea,muscle_pain,vomiting
Malaria,fever,muscle_pain,chills,headache,sweating,nausea,vomiting,fatigue
Malaria,fever,vomiting,chills,headache,sweating,nausea,muscle_pain,fatigue
Typhoid,prolonged_fever,weakness,abdominal_pain,headache,loss_of_appetite,diarrhea,constipation,rash
Typhoid,weakness,prolonged_fever,abdominal_pain,headache,loss_of_appetite,diarrhea,constipation,rash
Typhoid,abdominal_pain,prolonged_fever,weakness,headache,loss_of_appetite,diarrhea,constipation,rash
Typhoid,headache,prolonged_fever,weakness,abdominal_pain,loss_of_appetite,diarrhea,constipation,rash
Typhoid,loss_of_appetite,prolonged_fever,weakness,abdominal_pain,headache,diarrhea,constipation,rash
Typhoid,diarrhea,prolonged_fever,weakness,abdominal_pain,headache,loss_of_appetite,constipation,rash
Typhoid,constipation,prolonged_fever,weakness,abdominal_pain,headache,loss_of_appetite,diarrhea,rash
Typhoid,rash,prolonged_fever,weakness,abdominal_pain,headache,loss_of_appetite,diarrhea,constipation
Typhoid,prolonged_fever,abdominal_pain,weakness,headache,loss_of_appetite,diarrhea,rash,constipation
Typhoid,prolonged_fever,diarrhea,weakness,abdominal_pain,headache,loss_of_appetite,rash,constipation
Influenza,fever,cough,sore_throat,body_ache,headache,chills,fatigue,runny_nose
Influenza,cough,fever,sore_throat,body_ache,headache,chills,fatigue,runny_nose
Influenza,sore_throat,fever,cough,body_ache,headache,chills,fatigue,runny_nose
Influenza,body_ache,fever,cough,sore_throat,headache,chills,fatigue,runny_nose
Influenza,headache,fever,cough,sore_throat,body_ache,chills,fatigue,runny_nose
Influenza,chills,fever,cough,sore_throat,body_ache,headache,fatigue,runny_nose
Influenza,fatigue,fever,cough,sore_throat,body_ache,headache,chills,runny_nose
Influenza,runny_nose,fever,cough,sore_throat,body_ache,headache,chills,fatigue
Influenza,fever,body_ache,cough,sore_throat,headache,chills,fatigue,runny_nose
Influenza,fever,chills,cough,sore_throat,body_ache,headache,fatigue,runny_nose
Pneumonia,fever,cough,chest_pain,shortness_of_breath,fatigue,chills,confusion,sweating
Pneumonia,cough,fever,chest_pain,shortness_of_breath,fatigue,chills,confusion,sweating
Pneumonia,chest_pain,fever,cough,shortness_of_breath,fatigue,chills,confusion,sweating
Pneumonia,shortness_of_breath,fever,cough,chest_pain,fatigue,chills,confusion,sweating
Pneumonia,fatigue,fever,cough,chest_pain,shortness_of_breath,chills,confusion,sweating
Pneumonia,chills,fever,cough,chest_pain,shortness_of_breath,fatigue,confusion,sweating
Pneumonia,confusion,fever,cough,chest_pain,shortness_of_breath,fatigue,chills,sweating
Pneumonia,sweating,fever,cough,chest_pain,shortness_of_breath,fatigue,chills,confusion
Pneumonia,fever,shortness_of_breath,cough,chest_pain,fatigue,chills,confusion,sweating
Pneumonia,fever,confusion,cough,chest_pain,shortness_of_breath,fatigue,chills,sweating
Dengue,high_fever,severe_headache,joint_pain,muscle_pain,rash,fatigue,nausea,bleeding_gums
Dengue,severe_headache,high_fever,joint_pain,muscle_pain,rash,fatigue,nausea,bleeding_gums
Dengue,joint_pain,high_fever,severe_headache,muscle_pain,rash,fatigue,nausea,bleeding_gums
Dengue,muscle_pain,high_fever,severe_headache,joint_pain,rash,fatigue,nausea,bleeding_gums
Dengue,rash,high_fever,severe_headache,joint_pain,muscle_pain,fatigue,nausea,bleeding_gums
Dengue,fatigue,high_fever,severe_headache,joint_pain,muscle_pain,rash,nausea,bleeding_gums
Dengue,nausea,high_fever,severe_headache,joint_pain,muscle_pain,rash,fatigue,bleeding_gums
Dengue,bleeding_gums,high_fever,severe_headache,joint_pain,muscle_pain,rash,fatigue,nausea
Dengue,high_fever,joint_pain,severe_headache,muscle_pain,rash,fatigue,nausea,bleeding_gums
Dengue,high_fever,rash,severe_headache,joint_pain,muscle_pain,fatigue,nausea,bleeding_gums
Asthma,shortness_of_breath,wheezing,coughing,chest_tightness,fatigue,breathing_difficulty,sleep_disturbance,anxiety
Asthma,wheezing,shortness_of_breath,coughing,chest_tightness,fatigue,breathing_difficulty,sleep_disturbance,anxiety
Asthma,coughing,shortness_of_breath,wheezing,chest_tightness,fatigue,breathing_difficulty,sleep_disturbance,anxiety
Asthma,chest_tightness,shortness_of_breath,wheezing,coughing,fatigue,breathing_difficulty,sleep_disturbance,anxiety
Asthma,fatigue,shortness_of_breath,wheezing,coughing,chest_tightness,breathing_difficulty,sleep_disturbance,anxiety
Asthma,breathing_difficulty,shortness_of_breath,wheezing,coughing,chest_tightness,fatigue,sleep_disturbance,anxiety
Asthma,sleep_disturbance,shortness_of_breath,wheezing,coughing,chest_tightness,fatigue,breathing_difficulty,anxiety
Asthma,anxiety,shortness_of_breath,wheezing,coughing,chest_tightness,fatigue,breathing_difficulty,sleep_disturbance
Asthma,shortness_of_breath,chest_tightness,wheezing,coughing,fatigue,breathing_difficulty,sleep_disturbance,anxiety
Asthma,shortness_of_breath,breathing_difficulty,wheezing,coughing,chest_tightness,fatigue,sleep_disturbance,anxiety
COVID-19,fever,dry_cough,fatigue,loss_of_taste,loss_of_smell,shortness_of_breath,body_ache,sore_throat
COVID-19,dry_cough,fever,fatigue,loss_of_taste,loss_of_smell,shortness_of_breath,body_ache,sore_throat
COVID-19,fatigue,fever,dry_cough,loss_of_taste,loss_of_smell,shortness_of_breath,body_ache,sore_throat
COVID-19,loss_of_taste,fever,dry_cough,fatigue,loss_of_smell,shortness_of_breath,body_ache,sore_throat
COVID-19,loss_of_smell,fever,dry_cough,fatigue,loss_of_taste,shortness_of_breath,body_ache,sore_throat
COVID-19,shortness_of_breath,fever,dry_cough,fatigue,loss_of_taste,loss_of_smell,body_ache,sore_throat
COVID-19,body_ache,fever,dry_cough,fatigue,loss_of_taste,loss_of_smell,shortness_of_breath,sore_throat
COVID-19,sore_throat,fever,dry_cough,fatigue,loss_of_taste,loss_of_smell,shortness_of_breath,body_ache
COVID-19,fever,loss_of_taste,dry_cough,fatigue,loss_of_smell,shortness_of_breath,body_ache,sore_throat
COVID-19,fever,loss_of_smell,dry_cough,fatigue,loss_of_taste,shortness_of_breath,body_ache,sore_throat
Tuberculosis,persistent_cough,blood_in_cough,chest_pain,weight_loss,night_sweats,fever,fatigue,loss_of_appetite
Tuberculosis,blood_in_cough,persistent_cough,chest_pain,weight_loss,night_sweats,fever,fatigue,loss_of_appetite
Tuberculosis,chest_pain,persistent_cough,blood_in_cough,weight_loss,night_sweats,fever,fatigue,loss_of_appetite
Tuberculosis,weight_loss,persistent_cough,blood_in_cough,chest_pain,night_sweats,fever,fatigue,loss_of_appetite
Tuberculosis,night_sweats,persistent_cough,blood_in_cough,chest_pain,weight_loss,fever,fatigue,loss_of_appetite
Tuberculosis,fever,persistent_cough,blood_in_cough,chest_pain,weight_loss,night_sweats,fatigue,loss_of_appetite
Tuberculosis,fatigue,persistent_cough,blood_in_cough,chest_pain,weight_loss,night_sweats,fever,loss_of_appetite
Tuberculosis,loss_of_appetite,persistent_cough,blood_in_cough,chest_pain,weight_loss,night_sweats,fever,fatigue
Tuberculosis,persistent_cough,weight_loss,blood_in_cough,chest_pain,night_sweats,fever,fatigue,loss_of_appetite
Tuberculosis,persistent_cough,night_sweats,blood_in_cough,chest_pain,weight_loss,fever,fatigue,loss_of_appetite
Migraine,severe_headache,nausea,vomiting,sensitivity_to_light,sensitivity_to_sound,visual_disturbances,fatigue,dizziness
Migraine,nausea,severe_headache,vomiting,sensitivity_to_light,sensitivity_to_sound,visual_disturbances,fatigue,dizziness
Migraine,vomiting,severe_headache,nausea,sensitivity_to_light,sensitivity_to_sound,visual_disturbances,fatigue,dizziness
Migraine,sensitivity_to_light,severe_headache,nausea,vomiting,sensitivity_to_sound,visual_disturbances,fatigue,dizziness
Migraine,sensitivity_to_sound,severe_headache,nausea,vomiting,sensitivity_to_light,visual_disturbances,fatigue,dizziness
Migraine,visual_disturbances,severe_headache,nausea,vomiting,sensitivity_to_light,sensitivity_to_sound,fatigue,dizziness
Migraine,fatigue,severe_headache,nausea,vomiting,sensitivity_to_light,sensitivity_to_sound,visual_disturbances,dizziness
Migraine,dizziness,severe_headache,nausea,vomiting,sensitivity_to_light,sensitivity_to_sound,visual_disturbances,fatigue
Migraine,severe_headache,sensitivity_to_light,nausea,vomiting,sensitivity_to_sound,visual_disturbances,fatigue,dizziness
Migraine,severe_headache,visual_disturbances,nausea,vomiting,sensitivity_to_light,sensitivity_to_sound,fatigue,dizziness
Jaundice,yellowing_of_skin,dark_urine,fatigue,abdominal_pain,nausea,vomiting,loss_of_appetite,pale_stools
Jaundice,dark_urine,yellowing_of_skin,fatigue,abdominal_pain,nausea,vomiting,loss_of_appetite,pale_stools
Jaundice,fatigue,yellowing_of_skin,dark_urine,abdominal_pain,nausea,vomiting,loss_of_appetite,pale_stools
Jaundice,abdominal_pain,yellowing_of_skin,dark_urine,fatigue,nausea,vomiting,loss_of_appetite,pale_stools
Jaundice,nausea,yellowing_of_skin,dark_urine,fatigue,abdominal_pain,vomiting,loss_of_appetite,pale_stools
Jaundice,vomiting,yellowing_of_skin,dark_urine,fatigue,abdominal_pain,nausea,loss_of_appetite,pale_stools
Jaundice,loss_of_appetite,yellowing_of_skin,dark_urine,fatigue,abdominal_pain,nausea,vomiting,pale_stools
Jaundice,pale_stools,yellowing_of_skin,dark_urine,fatigue,abdominal_pain,nausea,vomiting,loss_of_appetite
Jaundice,yellowing_of_skin,fatigue,dark_urine,abdominal_pain,nausea,vomiting,loss_of_appetite,pale_stools
Jaundice,yellowing_of_skin,nausea,dark_urine,fatigue,abdominal_pain,vomiting,loss_of_appetite,pale_stools
Arthritis,joint_pain,joint_stiffness,swelling,redness,reduced_range_of_motion,fatigue,fever,tenderness
Arthritis,joint_stiffness,joint_pain,swelling,redness,reduced_range_of_motion,fatigue,fever,tenderness
Arthritis,swelling,joint_pain,joint_stiffness,redness,reduced_range_of_motion,fatigue,fever,tenderness
Arthritis,redness,joint_pain,joint_stiffness,swelling,reduced_range_of_motion,fatigue,fever,tenderness
Arthritis,reduced_range_of_motion,joint_pain,joint_stiffness,swelling,redness,fatigue,fever,tenderness
Arthritis,fatigue,joint_pain,joint_stiffness,swelling,redness,reduced_range_of_motion,fever,tenderness
Arthritis,fever,joint_pain,joint_stiffness,swelling,redness,reduced_range_of_motion,fatigue,tenderness
Arthritis,tenderness,joint_pain,joint_stiffness,swelling,redness,reduced_range_of_motion,fatigue,fever
Arthritis,joint_pain,swelling,joint_stiffness,redness,reduced_range_of_motion,fatigue,fever,tenderness
Arthritis,joint_pain,redness,joint_stiffness,swelling,reduced_range_of_motion,fatigue,fever,tenderness
Anemia,fatigue,weakness,pale_skin,shortness_of_breath,dizziness,cold_hands_and_feet,headache,chest_pain
Anemia,weakness,fatigue,pale_skin,shortness_of_breath,dizziness,cold_hands_and_feet,headache,chest_pain
Anemia,pale_skin,fatigue,weakness,shortness_of_breath,dizziness,cold_hands_and_feet,headache,chest_pain
Anemia,shortness_of_breath,fatigue,weakness,pale_skin,dizziness,cold_hands_and_feet,headache,chest_pain
Anemia,dizziness,fatigue,weakness,pale_skin,shortness_of_breath,cold_hands_and_feet,headache,chest_pain
Anemia,cold_hands_and_feet,fatigue,weakness,pale_skin,shortness_of_breath,dizziness,headache,chest_pain
Anemia,headache,fatigue,weakness,pale_skin,shortness_of_breath,dizziness,cold_hands_and_feet,chest_pain
Anemia,chest_pain,fatigue,weakness,pale_skin,shortness_of_breath,dizziness,cold_hands_and_feet,headache
Anemia,fatigue,shortness_of_breath,weakness,pale_skin,dizziness,cold_hands_and_feet,headache,chest_pain
Anemia,fatigue,dizziness,weakness,pale_skin,shortness_of_breath,cold_hands_and_feet,headache,chest_pain
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,fatigue,sweating,watering_from_eyes,nausea
Fungal infection,skin_rash,itching,nodal_skin_eruptions,dischromic_patches,fatigue,sweating,nausea,watering_from_eyes
Fungal infection,nodal_skin_eruptions,itching,skin_rash,dischromic_patches,fatigue,sweating,nausea,watering_from_eyes
Fungal infection,dischromic_patches,itching,skin_rash,nodal_skin_eruptions,fatigue,sweating,nausea,watering_from_eyes
Fungal infection,itching,dischromic_patches,skin_rash,nodal_skin_eruptions,fatigue,sweating,nausea,watering_from_eyes
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,headache,redness_of_eyes,runny_nose,fatigue
Allergy,shivering,continuous_sneezing,chills,watering_from_eyes,headache,redness_of_eyes,runny_nose,fatigue
Allergy,chills,continuous_sneezing,shivering,watering_from_eyes,headache,redness_of_eyes,runny_nose,fatigue
Allergy,watering_from_eyes,continuous_sneezing,shivering,chills,headache,redness_of_eyes,runny_nose,fatigue
Allergy,redness_of_eyes,continuous_sneezing,shivering,chills,watering_from_eyes,headache,runny_nose,fatigue
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,nausea,burning_sensation
GERD,acidity,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,nausea,burning_sensation
GERD,ulcers_on_tongue,stomach_pain,acidity,vomiting,cough,chest_pain,nausea,burning_sensation
GERD,burning_sensation,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,nausea
GERD,chest_pain,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,nausea,burning_sensation
Peptic ulcer disease,vomiting,abdominal_pain,nausea,loss_of_appetite,burning_sensation,indigestion,dark_urine,fatigue
Peptic ulcer disease,abdominal_pain,vomiting,nausea,loss_of_appetite,burning_sensation,indigestion,dark_urine,fatigue
Peptic ulcer disease,nausea,vomiting,abdominal_pain,loss_of_appetite,burning_sensation,indigestion,dark_urine,fatigue
Peptic ulcer disease,burning_sensation,vomiting,abdominal_pain,nausea,loss_of_appetite,indigestion,dark_urine,fatigue
Peptic ulcer disease,indigestion,vomiting,abdominal_pain,nausea,loss_of_appetite,burning_sensation,dark_urine,fatigue
Gastroenteritis,vomiting,diarrhea,stomach_pain,nausea,dehydration,loss_of_appetite,muscle_pain,fatigue
Gastroenteritis,diarrhea,vomiting,stomach_pain,nausea,dehydration,loss_of_appetite,muscle_pain,fatigue
Gastroenteritis,stomach_pain,vomiting,diarrhea,nausea,dehydration,loss_of_appetite,muscle_pain,fatigue
Gastroenteritis,nausea,vomiting,diarrhea,stomach_pain,dehydration,loss_of_appetite,muscle_pain,fatigue
Gastroenteritis,dehydration,vomiting,diarrhea,stomach_pain,nausea,loss_of_appetite,muscle_pain,fatigue
Bronchial Asthma,wheezing,breathlessness,cough,fatigue,chest_tightness,mucus_in_cough,breathing_difficulty,anxiety
Bronchial Asthma,breathlessness,wheezing,cough,fatigue,chest_tightness,mucus_in_cough,breathing_difficulty,anxiety
Bronchial Asthma,cough,wheezing,breathlessness,fatigue,chest_tightness,mucus_in_cough,breathing_difficulty,anxiety
Bronchial Asthma,mucus_in_cough,wheezing,breathlessness,cough,fatigue,chest_tightness,breathing_difficulty,anxiety
Bronchial Asthma,breathlessness,mucus_in_cough,wheezing,cough,fatigue,chest_tightness,breathing_difficulty,anxiety
Cervical spondylosis,neck_pain,dizziness,loss_of_balance,back_pain,weakness_in_limbs,stiff_neck,numbness,headache
Cervical spondylosis,dizziness,neck_pain,loss_of_balance,back_pain,weakness_in_limbs,stiff_neck,numbness,headache
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,weakness_in_limbs,stiff_neck,numbness,headache
Cervical spondylosis,stiff_neck,neck_pain,dizziness,back_pain,weakness_in_limbs,loss_of_balance,numbness,headache
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,back_pain,loss_of_balance,stiff_neck,numbness,headache
Psoriasis,skin_rash,joint_pain,itching,silver_scales,dry_skin,red_patches,burning_sensation,fatigue
Psoriasis,itching,skin_rash,joint_pain,silver_scales,dry_skin,red_patches,burning_sensation,fatigue
Psoriasis,joint_pain,skin_rash,itching,silver_scales,dry_skin,red_patches,burning_sensation,fatigue
Psoriasis,silver_scales,skin_rash,joint_pain,itching,dry_skin,red_patches,burning_sensation,fatigue
Psoriasis,dry_skin,skin_rash,joint_pain,itching,silver_scales,red_patches,burning_sensation,fatigue
Urinary tract infection,burning_micturition,frequent_urination,foul_smell_of_urine,bladder_discomfort,continuous_feel_of_urine,nausea,fatigue,fever
Urinary tract infection,frequent_urination,burning_micturition,foul_smell_of_urine,bladder_discomfort,continuous_feel_of_urine,nausea,fatigue,fever
Urinary tract infection,foul_smell_of_urine,burning_micturition,frequent_urination,bladder_discomfort,continuous_feel_of_urine,nausea,fatigue,fever
Urinary tract infection,bladder_discomfort,burning_micturition,frequent_urination,foul_smell_of_urine,continuous_feel_of_urine,nausea,fatigue,fever
Urinary tract infection,continuous_feel_of_urine,burning_micturition,frequent_urination,foul_smell_of_urine,bladder_discomfort,nausea,fatigue,fever
Heart attack,chest_pain,breathlessness,sweating,vomiting,fatigue,arm_pain,jaw_pain,palpitations
Heart attack,breathlessness,chest_pain,sweating,vomiting,fatigue,arm_pain,jaw_pain,palpitations
Heart attack,sweating,chest_pain,breathlessness,vomiting,fatigue,arm_pain,jaw_pain,palpitations
Heart attack,arm_pain,chest_pain,breathlessness,sweating,vomiting,fatigue,jaw_pain,palpitations
Heart attack,jaw_pain,chest_pain,breathlessness,sweating,vomiting,fatigue,arm_pain,palpitations
Acne,skin_rash,pus_filled_pimples,blackheads,scurring,itching,redness,swelling,inflammation
Acne,pus_filled_pimples,skin_rash,blackheads,scurring,itching,redness,swelling,inflammation
Acne,blackheads,skin_rash,pus_filled_pimples,scurring,itching,redness,swelling,inflammation
Acne,scurring,skin_rash,pus_filled_pimples,blackheads,itching,redness,swelling,inflammation
Acne,inflammation,skin_rash,pus_filled_pimples,blackheads,scurring,itching,redness,swelling
Hypothyroidism,fatigue,weight_gain,cold_intolerance,constipation,dry_skin,hair_loss,depression,muscle_weakness
Hypothyroidism,weight_gain,fatigue,cold_intolerance,constipation,dry_skin,hair_loss,depression,muscle_weakness
Hypothyroidism,cold_intolerance,fatigue,weight_gain,constipation,dry_skin,hair_loss,depression,muscle_weakness
Hypothyroidism,constipation,fatigue,weight_gain,cold_intolerance,dry_skin,hair_loss,depression,muscle_weakness
Hypothyroidism,hair_loss,fatigue,weight_gain,cold_intolerance,constipation,dry_skin,depression,muscle_weakness
Hyperthyroidism,weight_loss,fatigue,palpitations,heat_intolerance,sweating,anxiety,tremors,frequent_urination
Hyperthyroidism,palpitations,weight_loss,fatigue,heat_intolerance,sweating,anxiety,tremors,frequent_urination
Hyperthyroidism,heat_intolerance,weight_loss,fatigue,palpitations,sweating,anxiety,tremors,frequent_urination
Hyperthyroidism,tremors,weight_loss,fatigue,palpitations,heat_intolerance,sweating,anxiety,frequent_urination
Hyperthyroidism,anxiety,weight_loss,fatigue,palpitations,heat_intolerance,sweating,tremors,frequent_urination
Hepatitis A,yellow_skin,nausea,vomiting,fatigue,dark_urine,loss_of_appetite,abdominal_pain,fever
Hepatitis A,nausea,yellow_skin,vomiting,fatigue,dark_urine,loss_of_appetite,abdominal_pain,fever
Hepatitis A,dark_urine,yellow_skin,nausea,vomiting,fatigue,loss_of_appetite,abdominal_pain,fever
Hepatitis A,abdominal_pain,yellow_skin,nausea,vomiting,fatigue,dark_urine,loss_of_appetite,fever
Hepatitis A,fever,yellow_skin,nausea,vomiting,fatigue,dark_urine,loss_of_appetite,abdominal_pain
Hepatitis B,yellow_skin,fatigue,abdominal_pain,dark_urine,nausea,vomiting,joint_pain,loss_of_appetite
Hepatitis B,fatigue,yellow_skin,abdominal_pain,dark_urine,nausea,vomiting,joint_pain,loss_of_appetite
Hepatitis B,abdominal_pain,yellow_skin,fatigue,dark_urine,nausea,vomiting,joint_pain,loss_of_appetite
Hepatitis B,joint_pain,yellow_skin,fatigue,abdominal_pain,dark_urine,nausea,vomiting,loss_of_appetite
Hepatitis B,dark_urine,yellow_skin,fatigue,abdominal_pain,nausea,vomiting,joint_pain,loss_of_appetite
Chicken pox,itching,skin_rash,fatigue,fever,loss_of_appetite,headache,red_spots,vesicular_rash
Chicken pox,skin_rash,itching,fatigue,fever,loss_of_appetite,headache,red_spots,vesicular_rash
Chicken pox,fever,itching,skin_rash,fatigue,loss_of_appetite,headache,red_spots,vesicular_rash
Chicken pox,headache,itching,skin_rash,fatigue,fever,loss_of_appetite,red_spots,vesicular_rash
Chicken pox,vesicular_rash,itching,skin_rash,fatigue,fever,loss_of_appetite,headache,red_spots
Common Cold,continuous_sneezing,cough,sore_throat,runny_nose,fatigue,headache,chills,mild_fever
Common Cold,cough,continuous_sneezing,sore_throat,runny_nose,fatigue,headache,chills,mild_fever
Common Cold,sore_throat,continuous_sneezing,cough,runny_nose,fatigue,headache,chills,mild_fever
Common Cold,runny_nose,continuous_sneezing,cough,sore_throat,fatigue,headache,chills,mild_fever
Common Cold,mild_fever,continuous_sneezing,cough,sore_throat,runny_nose,fatigue,headache,chills
